Group,String,Position,ID,Voc,Isc,Vmp,Imp
4,4,6,325,51.89,13.79,43.0,12.64
4,4,7,445,43.18,13.6,35.66,12.64
4,4,8,326,39.66,13.84,33.14,12.65
4,4,9,167,39.42,13.75,32.91,12.65
5,0,0,326,39.66,13.84,33.14,12.65
5,0,1,60,51.91,13.8,43.02,12.65
5,0,2,257,52.63,14.05,43.83,12.66
5,0,3,20,52.68,14.08,43.87,12.66
5,0,4,215,39.29,13.72,32.77,12.67
5,0,5,247,52.22,13.91,43.37,12.67
5,0,6,82,38.89,13.61,32.37,12.67
5,0,7,464,39.23,13.68,32.72,12.67
5,0,8,113,43.57,13.79,36.15,12.68
5,0,9,311,43.57,13.79,36.15,12.68
5,1,0,92,52.33,13.94,43.5,12.68
5,1,1,41,43.34,13.69,35.85,12.68
5,1,2,93,43.22,13.61,35.75,12.68
5,1,3,97,39.64,13.83,33.12,12.69
5,1,4,361,43.6,13.81,36.17,12.69
5,1,5,116,52.23,13.92,43.38,12.69
5,1,6,61,52.0,13.84,43.09,12.69
5,1,7,132,39.32,13.74,32.79,12.7
5,1,8,14,43.68,13.84,36.29,12.7
5,1,9,0,51.99,13.84,43.09,12.7
5,2,0,419,39.25,13.69,32.73,12.7
5,2,1,460,39.03,13.61,32.51,12.7
5,2,2,439,43.49,13.76,36.03,12.7
5,2,3,87,38.99,13.59,32.49,12.7
5,2,4,373,39.46,13.77,32.94,12.71
5,2,5,194,39.24,13.68,32.73,12.71
5,2,6,286,51.92,13.8,43.03,12.71
5,2,7,375,43.46,13.74,36.0,12.71
5,2,8,146,43.74,13.88,36.35,12.72
5,2,9,144,51.93,13.81,43.03,12.72
5,2,10,354,39.43,13.75,32.92,12.72
5,3,0,63,52.59,14.03,43.8,12.72
5,3,1,221,43.29,13.65,35.8,12.73
5,3,2,399,43.38,13.71,35.88,12.73
5,3,3,200,39.41,13.74,32.9,12.73
5,3,4,300,43.33,13.68,35.84,12.73
5,3,5,154,39.0,13.59,32.49,12.73
5,3,6,423,52.13,13.86,43.29,12.73
5,3,7,240,52.32,13.96,43.45,12.74
5,3,8,163,43.27,13.64,35.79,12.74
5,3,9,434,51.91,13.8,43.02,12.74
5,4,0,156,38.88,13.6,32.36,12.74
5,4,1,235,39.66,13.84,33.14,12.74
5,4,2,267,51.94,13.81,43.05,12.75
5,4,3,19,52.44,14.0,43.59,12.75
5,4,4,443,52.75,14.12,43.93,12.76
5,4,5,396,43.78,13.89,36.43,12.76
5,4,6,397,51.95,13.82,43.05,12.76
5,4,7,45,43.71,13.86,36.32,12.77
5,4,8,335,43.53,13.78,36.06,12.77
5,4,9,349,39.44,13.76,32.93,12.77
6,0,0,467,43.45,13.73,36.0,12.77
6,0,1,438,51.97,13.8,43.11,12.77
6,0,2,321,43.49,13.74,36.08,12.77
6,0,3,486,39.1,13.66,32.57,12.77
6,0,4,233,43.41,13.71,35.96,12.77
6,0,5,65,52.45,13.98,43.64,12.78
6,0,6,272,43.53,13.79,36.06,12.78
6,0,7,339,43.15,13.58,35.63,12.78
6,0,8,431,52.0,13.82,43.14,12.78
6,0,9,277,52.76,14.12,43.94,12.79
6,1,0,54,39.72,13.89,33.2,12.79
6,1,1,485,39.15,13.7,32.62,12.79
6,1,2,121,52.16,13.88,43.32,12.79
6,1,3,219,43.83,13.94,36.42,12.8
6,1,4,365,43.58,13.8,36.15,12.8
6,1,5,18,43.33,13.68,35.84,12.8
6,1,6,341,43.38,13.71,35.88,12.8
6,1,7,292,52.47,13.99,43.66,12.81
6,1,8,448,39.18,13.72,32.64,12.81
6,1,9,190,52.24,13.92,43.39,12.81
6,2,0,197,38.9,13.61,32.37,12.82
6,2,1,47,43.28,13.65,35.8,12.82
6,2,2,420,38.92,13.63,32.39,12.82
6,2,3,499,43.74,13.88,36.35,12.82
6,2,4,450,43.95,14.0,36.57,12.82
